Firstname,Lastname,Pos,Team,Level,Pro Years
Burton,Guster,SS,SF,AAA,0
Elmer,Deacon,3B,Free Agent,A,0
Rupert,Brawer,SS,Free Agent,A,0
Joe,Moore,1B,PORT,AA,0
Mike,Wallace,LF,ROCK,AA,0
Nathaniel,Epps,3B,CASP,AA,0
Roy,Munson,P,Free Agent,A,0
John,McLeod,P,WISC,AA,0
Michael,Choate,P,Free Agent,A,0
Sean,Packer,P,MIDL,AA,0
Marsh,Quinto,C,CASP,ML,3
Doug,Jordan,P,Free Agent,A,0
Steve,Adoor,CF,ROCK,AA,0
John,Ramsey,P,WISC,ML,7
Carmen,Beck,CF,Free Agent,A,0
Dale,Hicks,1B,MAIN,ML,4
Bernard,Williams,P,OMA,AAA,0
Jim,Lemmond,1B,Free Agent,A,7
Kristopher,Maune,P,PORT,AA,0
Ed,Edison,P,IDA,AAA,0
Ernest,Strano,P,Free Agent,A,0
Bill,Bell,P,SUGR,A,8
Jerry,Alavi,CF,LOUI,A,0
Tim,Seaholm,CF,PORT,A,0
Juan,Lambert,P,OMA,AA,0
Jim,Budnick,CF,CASP,AA,0
Joe,Fambro,P,Free Agent,A,0
Jim,Davis,SS,ROME,A,0
George,Pelletier,P,CHES,AAA,0
Bill,Burstein,C,FRIS,A,0
Johnny,Lopez,3B,Free Agent,A,2
Pete,Blad,SS,NORW,AA,0
Chester,Taylor,2B,SF,A,0
Treat,Rice,3B,SF,A,0
Dominic,Palmer,C,Free Agent,A,0
Robert,Ford,1B,SCRN,A,0
John,McQuaid,2B,Free Agent,A,0
Bill,Redmond,CF,CHES,ML,3
Mike,Vanscooter,3B,ELP,A,0
Ernest,Bass,2B,SCRN,AAA,0
Lionel,Winsky,C,ELP,AA,0
Chance,Guadalupe,C,IDA,AA,0
Luther,Powless,2B,MIDL,AA,0
Butch,Diluzio,LF,Free Agent,A,0
Carlton,Massingill,3B,Free Agent,A,0
Joe,Posner,SS,OKC,A,0
Wart,McHorse,C,BANG,AA,0
John,Coleman,2B,Free Agent,A,0
Steve,Joris,3B,NORW,AA,0
Moe,Pumphrey,LF,Free Agent,A,0
Seth,Haller,LF,Free Agent,A,0
Michael,Sulit,CF,SCRN,A,0
Dave,Portero,LF,CHES,AAA,0
Jonathan,Ivy,RF,RICH,A,0
Billy,Bigbee,1B,MAHO,ML,1
Justin,Andrews,LF,Free Agent,A,0
Pat,Bailey,SS,ROME,AA,0
Randall,Rowan,RF,DAY,AA,0
Don,Kriger,3B,SCRN,AAA,0
Andrew,Kunzler,P,ROME,AA,0
Luis,Howell,P,Free Agent,A,0
William,Barrow,P,SF,A,0
Alfred,Randolf,3B,LOUI,AAA,0
Ronnie,Martin,P,Free Agent,A,0
Carlos,Helsel,P,Free Agent,A,0
Lino,Moorman,P,Free Agent,A,0
Charlie,Blanco,P,IDA,AA,0
Francis,Marriott,SS,LOUI,ML,1
Willie,Coleman,P,Free Agent,A,0
Otha,Stone,P,SCRN,ML,3
Brooks,Hall,3B,CHES,ML,4
John,Reinschmidt,P,ROCK,A,0
Felipe,Ellis,P,Free Agent,A,0
Bob,Hunt,P,Free Agent,A,0
Dave,Rood,CF,SF,AA,0
Albert,Lobato,3B,Free Agent,A,0
Justin,Etchison,1B,SF,AA,0
L.A.,Knight,LF,ROCK,AAA,0
George,Burgdorf,2B,CASP,AA,0
Eduardo,Jenson,C,Free Agent,A,0
Santos,Gregerson,SS,NORW,AA,0
Chris,Hakes,P,FRIS,A,0
Jordan,Rivers,CF,Free Agent,A,0
Charlie,Seiple,RF,CASP,AA,0
Barry,Ouimet,CF,LOUI,AAA,0
Gary,McDonell,C,Free Agent,A,0
Lawrence,Lefton,LF,CHES,AAA,0
Alex,McManus,1B,Free Agent,A,0
Douglas,Lacognata,2B,Free Agent,A,0
Jesse,Slaght,P,FRIS,AAA,0
August,Youssef,3B,MIDL,AA,0
Beau,Dinh,SS,Free Agent,A,0
Dylan,Garnett,C,EDMO,AAA,0
Anthony,Larmore,P,WISC,AAA,0
Ro,Davis,RF,MIDL,AA,0
Elliott,Pulsifer,CF,Free Agent,A,0
Christopher,Dalton,RF,Free Agent,A,0
Ed,Desilva,P,WISC,A,0
Al,Salazar,P,OKC,A,0
Sidney,Blankenship,P,Free Agent,A,0
Oscar,France,P,OMA,AAA,0
Russell,Nishiyama,P,Free Agent,A,0
Fletcher,Deforge,LF,SF,AA,0
Manuel,Lebsack,P,PORT,A,0
Dan,Wagner,P,ALTO,A,0
Darryl,Brittain,1B,LOUI,ML,2
Jacob,Smolik,P,MAHO,AA,0
Salomon,Kasserman,P,RICH,A,0
John,Flis,P,WISC,AAA,0
Jonathan,Loper,P,MIDL,AA,0
Ed,McCranie,P,WISC,ML,6
Kelly,Ripperger,P,ELP,AAA,0
Donovan,Peterson,P,Free Agent,A,0
Wilburn,McNamara,P,Free Agent,A,0
Walt,O'Neal,P,MAHO,AAA,0
Rufus,Klopf,P,Free Agent,A,0
Morris,Borjon,P,AUCK,AA,0
Fernando,Caudle,1B,ELP,AA,0
Andre,Neel,SS,FRIS,AAA,0
George,Bergdoll,P,OMA,AA,0
Jacob,Dockery,P,LAKE,A,0
Grant,Hershenson,P,Free Agent,A,0
Vernon,Ryzinski,CF,LAKE,AA,0
Norris,Ward,SS,Free Agent,A,0
Josh,Stoneham,RF,Free Agent,A,0
Jason,Black,P,HILL,A,0
Shawn,Biley,1B,Free Agent,A,0
Stevie,Dunomes,CF,AUCK,AA,0
Carmelo,Howard,SS,LAKE,AA,0
Danny,Evans,1B,CASP,AAA,0
Santo,Rodgers,P,CHES,A,0
Seth,Cote,1B,EDMO,AA,0
Nathan,Blick,P,SUGR,A,0
Moshe,Eggers,C,CASP,A,0
Matthew,Murray,P,IDA,ML,1
Clarence,Kampen,P,SF,ML,2
Ezekiel,Gibson,P,FRIS,AAA,0
Parker,Carr,3B,MAHO,AA,0
Greg,Higby,1B,WISC,AA,0
Ralph,Smoot,2B,Free Agent,A,0
Eugene,Turnbaugh,RF,Free Agent,A,0
Tom,Barocio,3B,DAY,A,0
Linwood,Pullis,3B,Free Agent,A,0
Steve,Mechem,P,IDA,AAA,0
Dwight,Morin,P,TEX,AAA,0
Chris,Huesing,SS,Free Agent,A,0
Anthony,Pasha,RF,LYNC,AA,0
Dave,Hinostroza,3B,PORT,AA,0
Grady,Coates,RF,LAKE,AA,0
Rogers,Hutcherson,SS,ROCK,AAA,0
Charlie,Ramotar,CF,CASP,A,0
Robert,Jones,SS,IDA,AA,0
Jean,Sohl,P,FRIS,AA,0
Guillermo,Golay,P,Free Agent,A,0
Dennis,Torres,RF,ROCK,ML,3
Hubert,Coe,P,Free Agent,A,0
Tom,Lecleir,P,Free Agent,A,0
Tomas,Hirsch,RF,Free Agent,A,4
Willie,Grob,P,Free Agent,A,0
Rudy,Doheny,P,OMA,AA,0
Paul,Pekar,2B,SF,AA,0
Dewey,Robinson,P,IDA,AA,0
Jeffrey,Hernandez,RF,SF,AA,0
Brandon,Garcia,SS,SCRN,AA,0
Joseph,Rogers,CF,MAHO,AAA,1
Dave,Thomas,LF,BANG,A,0
John,McEnroe,RF,LAKE,AA,0
Leo,Louis,RF,CASP,A,0
Tom,Bullington,P,Free Agent,A,0
Theodore,Cunningham,P,ALTO,AA,0
Jeffery,Folks,CF,Free Agent,A,0
Dick,Vasquez,SS,OKC,ML,7
Ray,Jack,3B,IDA,A,8
Van,Pullam,2B,FRIS,AA,0
Martin,Dileo,1B,NORW,AA,0
Jose,Vandenboom,LF,Free Agent,A,0
Joseph,Babbs,SS,Free Agent,A,0
Todd,Smitley,C,ALTO,A,0
Chris,Sturkie,3B,ROCK,AAA,0
Bob,Faulkner,P,EDMO,ML,2
Zachariah,Stewart,1B,RICH,A,0
Michael,Sultzer,CF,Free Agent,A,0
Darin,Cichowski,P,PORT,AA,0
Mark,Hart,C,Free Agent,A,0
Jim,McCarry,2B,WISC,AA,0
Dave,Gardino,LF,SCRN,AA,0
Fennis,Dembo,2B,Free Agent,A,0
Johnny,Dickshot,1B,RICH,AA,0
Troy,Ripp,2B,ELP,A,0
Tom,Kraft,LF,Free Agent,A,0
Roberto,Stolze,LF,LAKE,AA,0
Andy,Calderon,3B,PEOR,A,0
Dave,Fader,P,Free Agent,A,0
Dale,Schumacher,P,Free Agent,A,0
George,Carter,P,Free Agent,A,0
Leroy,McPherson,C,SCRN,ML,2
Matt,Powell,P,Free Agent,A,0
Bruno,Wade,1B,ELP,ML,1
Pat,McCargo,P,Free Agent,A,0
Jonathan,Whelpley,P,Free Agent,A,0
Carey,Dean,CF,MIDL,ML,2
Bryan,Newman,C,TEX,AAA,0
Ron,Maynard,P,Free Agent,A,0
Terry,Clara,P,RICH,A,5
Clifton,Hank,P,Free Agent,A,0
Mike,Ries,P,OMA,AA,0
Joel,Awad,P,Free Agent,A,0
Nelson,Heinz,SS,Free Agent,A,0
Nicolas,Peterson,P,MAIN,AA,0
Clay,Orlowski,3B,Free Agent,A,0
Henry,Martinez,RF,RICH,AA,0
Jean-Yves,Roy,P,MAIN,ML,6
Vaughn,Ray,P,MAHO,ML,11
Lester,Lawless,P,TEX,A,9
Stuart,Johns,RF,Free Agent,A,0
Mike,Lofton,2B,Free Agent,A,0
Michael,Senegal,LF,CASP,AA,0
Wilson,Gutierrez,CF,MAHO,ML,2
Russell,Gowins,CF,Free Agent,A,0
Antonio,Cheatham,RF,MAHO,AAA,0
Whitey,Gray,P,Free Agent,A,7
Rowdy,Roddy,P,PORT,AAA,0
Blaine,Briz,SS,SF,A,0
Jan,Gardner,LF,ROME,A,0
Neal,Gonzales,1B,Free Agent,A,0
Tyler,Chavaria,C,ROCK,AAA,0
Dan,Rhoderick,CF,DAY,A,0
Gustavo,Godbolt,2B,Free Agent,A,0
Joe,Wolk,3B,Free Agent,A,0
Tim,Boddie,P,FRIS,AA,0
Ed,Knudtson,SS,Free Agent,A,0
Louis,Driver,RF,MAIN,A,0
William,Spagnola,P,MIDL,A,0
Jerry,Bemis,CF,Free Agent,A,0
Ozzie,Owens,LF,NORW,AA,0
Kevin,Mais,RF,IDA,AA,0
Ernesto,Marquez,P,Free Agent,A,0
Larry,Chauhan,P,Free Agent,A,0
Frank,Lubic,P,WISC,AA,0
Dave,Moody,P,ELP,ML,1
Darryl,Gregory,P,MIDL,AA,0
Jim,Freeman,P,Free Agent,A,0
Storm Bird,Pamola,P,MAIN,AA,0
Terrence,Hundley,P,Free Agent,A,0
Fermin,Adamyan,P,Free Agent,A,0
Anthony,Johnson,P,MIDL,AA,0
Steve,Riden,P,Free Agent,A,0
Ozzie,McBride,P,PORT,AA,0
Lucas,Collins,C,DAY,AA,0
Rube,Baker,C,ALTO,ML,13
Lorenzo,Lee,SS,Free Agent,A,0
Brian,Rice,P,AUCK,A,0
Scott,Mengel,2B,NORW,AA,0
Joe,Darnley,SS,WISC,A,6
Andre,Nunnelley,P,BANG,A,0
Derek,Garth,3B,WISC,AA,0
Glenallen,Wilczewski,SS,NORW,AA,0
Wayan,Dunn,SS,Free Agent,A,0
Ivan,Shasteen,P,SUGR,A,0
Otto,Trailor,P,MAHO,A,0
Eric,Cangelosi Jr,1B,CASP,AA,0
Sterling,Adams,P,MAHO,A,0
Mason,Cottrill,3B,Free Agent,A,0
Jose,Bolster,SS,Free Agent,A,0
Richard,Rudel,RF,ROCK,ML,3
Danny,Dyer,LF,NORW,AA,0
Alejandro,Threats,CF,ROCK,ML,1
Moses,Gosse,CF,NORW,AA,0
Bob,Alber,P,RICH,A,0
Pete,Eskin,P,FRIS,A,0
Laurence,Dixon,P,ROCK,A,0
Dennis,McCrossen,P,Free Agent,A,0
Will,Martinez,P,MIDL,A,8
Grant,Robertson,2B,TEX,AAA,0
Roger,Worley,P,HILL,A,0
Edgar,Wolfe,P,MAIN,AA,0
Daniel,Rioseco,P,Free Agent,A,0
Erik,Redd,P,Free Agent,A,0
Jarrod,Carswell,P,OMA,AA,0
Ralph,Perl,P,Free Agent,A,0
Rich,Wilder,SS,MAIN,AAA,0
Cliff,Castellanos,P,Free Agent,A,0
Joseph,Sabourin,3B,ELP,A,0
Bill,Marquez,1B,MAIN,A,0
Bernard,Berry,C,Free Agent,A,0
Larry,Alsip,LF,Free Agent,A,0
Bart,Evans,LF,Free Agent,A,0
John,Oldham,C,IDA,A,0
Gary,Day,SS,MAHO,AAA,1
Bill,Gering,2B,Free Agent,A,0
Jim,Calderon,CF,ELP,A,0
Ed,Knapp,CF,ALTO,ML,0
Juan,Hebert,LF,IDA,AA,0
Morris,Thorton,C,LOUI,AA,0
William,Victor,C,ROCK,A,0
Jonathon,Cerulli,P,CASP,A,12
Joe,Lanter,3B,Free Agent,A,0
Carlos,Ring,C,Free Agent,A,0
Elisha,Keppler,1B,SUGR,A,0
Ralph,Warren,3B,RICH,A,0
